Reg	Aircraft Type	Config	Delivered	Remark	Age	
VT-ICQ	Airbus A321neo	Y232	Jun 2024	lsd	1.5 Years	
VT-ICR	Airbus A321neo	Y232	Jun 2024	lsd	1.5 Years	
VT-ICS	Airbus A321neo	Y232	Jul 2024	lsd	1.6 Years	
VT-ICT	Airbus A321neo	Y232	Jul 2024	lsd	1.5 Years	
VT-ICV	Airbus A321neo	Y232	Jul 2024	lsd	1.4 Years	
VT-ICW	Airbus A321neo	Y232	Nov 2024	lsd	1.1 Years	
VT-ICX	Airbus A321neo	Y232	Jul 2024	lsd	1.4 Years	
VT-ICY	Airbus A321neo	Y232	Dec 2024	lsd	1 Years	
VT-ICZ	Airbus A321neo	Y232	Dec 2024	lsd	1 Years
VT-IKT	Airbus A321neo 	Y232	Oct 2025		0.2 Years	
VT-IKU	Airbus A321neo	Y232	Oct 2025		Brand new	
VT-ILB	Airbus A321neo	Y232	Nov 2020	lsd	5.1 Years	
VT-ILC	Airbus A321neo	Y232	Nov 2020	lsd	5.1 Years	
VT-ILD	Airbus A321neo	Y232	Feb 2021	lsd	4.8 Years	
VT-ILE	Airbus A321neo	Y232	Mar 2021	lsd	4.8 Years	
VT-ILF	Airbus A321neo	Y232	Mar 2021	lsd	4.8 Years	
VT-ILG	Airbus A321neo	Y232	Mar 2021	lsd	4.8 Years	
VT-ILH	Airbus A321neo	Y232	Feb 2021	lsd	4.8 Years	
VT-ILI	Airbus A321neo	Y232	Mar 2021	lsd	4.8 Years	
VT-ILJ	Airbus A321neo	Y232	Dec 2020	lsd	5 Years	
VT-ILL	Airbus A321neo	Y232	Apr 2021	lsd	4.7 Years	
VT-ILM	Airbus A321neo	Y232	Jan 2021	lsd	5 Years	
VT-ILN	Airbus A321neo	Y232	Feb 2021	lsd	4.9 Years	
VT-ILO	Airbus A321neo	Y232	Apr 2021	lsd	4.7 Years	
VT-ILP	Airbus A321neo	Y232	Jul 2021	lsd	4.5 Years	
VT-ILQ	Airbus A321neo	Y232	Apr 2021	lsd	4.7 Years	
VT-ILR	Airbus A321neo	Y232	Aug 2021	lsd	4.3 Years	
VT-ILS	Airbus A321neo	Y232	Sep 2021	lsd	4.3 Years	
VT-ILT	Airbus A321neo	Y232	Oct 2021	lsd	4.2 Years	
VT-ILU	Airbus A321neo	Y232	Sep 2021	lsd	4.3 Years	
VT-ILV	Airbus A321neo	Y232	Apr 2022	lsd	3.7 Years	
VT-ILW	Airbus A321neo	Y232	Nov 2021	lsd	4.1 Years	
VT-ILX	Airbus A321neo	Y232	Dec 2021	lsd	4 Years	
VT-ILY	Airbus A321neo	Y232	Dec 2021	lsd	4.1 Years	
VT-ILZ	Airbus A321neo	Y232	Dec 2021	lsd	4 Years	
VT-IMB	Airbus A321neo	Y232	Jan 2022	lsd	4 Years	
VT-IMC	Airbus A321neo	Y232	Dec 2021	lsd	4 Years	
VT-IMD	Airbus A321neo	Y232	Jan 2022	lsd	3.9 Years	
VT-IME	Airbus A321neo	Y232	Dec 2021	lsd	4 Years	
VT-IMG	Airbus A321neo	Y232	Feb 2022	lsd	3.9 Years	
VT-IMH	Airbus A321neo	Y232	Apr 2022	lsd	3.7 Years	
VT-IMI	Airbus A321neo	Y232	Mar 2022	lsd	3.8 Years	
VT-IMJ	Airbus A321neo	Y232	May 2022	lsd	3.6 Years	
VT-IMK	Airbus A321neo	Y232	Jun 2022		3.6 Years	
VT-IML	Airbus A321neo	Y232	Apr 2022	lsd	3.7 Years	
VT-IMM	Airbus A321neo	Y232	May 2022	lsd	3.6 Years	
VT-IMN	Airbus A321neo	Y232	Jun 2022		3.5 Years	
VT-IMQ	Airbus A321neo	Y232	Jun 2022	lsf Golden Eagle Leasing	3.5 Years	
VT-IMR	Airbus A321neo	Y232	May 2022	lsd	3.6 Years	
VT-IMS	Airbus A321neo	Y232	Jun 2022	lsd	3.5 Years	
VT-IMU	Airbus A321neo	Y232	Sep 2022	lsd	3.3 Years	
VT-IMV	Airbus A321neo	Y232	Sep 2022	lsd	3.3 Years	
VT-IMW	Airbus A321neo	Y232	Oct 2022	lsd	3.1 Years	
VT-IMX	Airbus A321neo	Y232	Dec 2022	lsd	3.1 Years	
VT-IMY	Airbus A321neo	Y232	Sep 2022	lsd	3.2 Years	
VT-IMZ	Airbus A321neo	Y232	Oct 2022	lsd	3.1 Years	
VT-IRV	Airbus A321neo	Y232	Aug 2024	lsd	1.4 Years	
VT-IRW	Airbus A321neo	Y232	Aug 2024	lsd	1.3 Years	
VT-IRX	Airbus A321neo	Y232	Sep 2024	lsd	1.3 Years
VT-IRY	Airbus A321neo 	Y232	Sep 2024	lsd	1.2 Years	
VT-IRZ	Airbus A321neo	Y232	Aug 2024	lsd	1.3 Years	
VT-IUF	Airbus A321neo	Y222	Dec 2019	Parked / Maintenance, lsd	6 Years	
VT-IUH	Airbus A321neo	Y222	Oct 2019	Parked at HYD, lsd	6.2 Years	
VT-IUI	Airbus A321neo	Y222	Apr 2020	Parked at DEL, lsd	5.8 Years	
VT-IUJ	Airbus A321neo	Y222	Dec 2019	Parked / Maintenance, lsd	6 Years	
VT-IUK	Airbus A321neo	Y222	Feb 2020	lsd	5.8 Years	
VT-IUL	Airbus A321neo	Y222	Dec 2019	Parked at DEL, lsd	6 Years	
VT-IUM	Airbus A321neo	Y222	Feb 2020	lsd	5.9 Years	
VT-IUN	Airbus A321neo	Y222	Mar 2020	Parked at DEL, lsd	5.8 Years	
VT-IUO	Airbus A321neo	Y232	May 2020	Parked at DEL, lsd	5.7 Years	
